ANO DA CONSTRUCAO CORRIGIDO,sqlc
0,225
1889,1
1908,1
1914,1
1919,5
1920,1
1922,1
1925,2
1927,1
1928,2
1929,7
1930,9
1931,8
1932,3
1933,4
1934,10
1935,2
1936,5
1937,5
1938,7
1939,41
1940,19
1941,9
1942,23
1943,16
1944,50
1945,10
1946,25
1947,35
1948,46
1949,133
1950,81
1951,62
1952,78
1953,71
1954,250
1955,153
1956,149
1957,139
1958,135
1959,362
1960,143
1961,121
1962,170
1963,157
1964,305
1965,165
1966,151
1967,248
1968,187
1969,246
1970,2303
1971,409
1972,506
1973,527
1974,483
1975,440
1976,383
1977,310
1978,276
1979,203
1980,191
1981,264
1982,261
1983,273
1984,179
1985,158
1986,154
1987,131
1988,163
1989,129
1990,141
1991,147
1992,119
1993,102
1994,144
1995,123
1996,147
1997,130
1998,139
1999,150
2000,189
2001,114
2002,157
2003,122
2004,99
2005,111
2006,80
2007,89
2008,121
2009,94
2010,136
2011,131
2012,123
2013,151
2014,133
2015,133
2016,127
2017,86
2018,57
2019,4
